parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
beta.1,3.372519774710411,2.3637493040493807,0.11830450988779864,368.7998779659122,236.1862676248888,1.0007594346032298,
beta.2,1.4671202576058904,0.5667933862510482,0.02836263386691024,368.729225678973,234.78446526572037,1.0007493899477207,
beta.3,0.41742475529137024,0.0669586658136608,0.002182389424911523,941.5943119886158,1820.9837064963538,1.000100072339879,
sigma,0.8816995512100884,0.018153178561157918,0.00020951836310342443,7539.5378521622715,8288.971719860449,1.0001525523475074,
