parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
b.1,6.54946035909591,0.27571418003970843,0.032182415462876826,75.57591621618245,133.7290578637056,1.313912257146528,
b.2,3.8207669123168495,0.46566590257477986,0.0772125260710549,36.55396260399866,76.33750308361607,2.0959571429546666,
b.3,-2.1181853462184046,0.43499278292735133,0.0732653793048363,36.568976077157984,102.8705103245506,2.0657181661476014,
b.4,1.4966529644216013,0.11900251720696654,0.010275858040456859,148.02017915749647,125.695631120369,1.064477225526074,
b.5,0.13431323098036563,0.007557051795985469,0.0002758937050485502,745.5945694762613,2822.2704486278935,1.0017760649874694,
b.6,-0.0391630664226547,0.006777634741026059,0.0003224770071007065,442.3317501355542,1959.8357697119582,1.0178568876711898,
b.7,0.0185605191338954,0.0059191584430991154,0.00032836595552292316,325.4239226104273,1693.9106190068576,1.034722775181146,
b.8,-0.001098678352868465,0.004473787705512087,0.0001306231402536352,1176.9745492912973,4211.998014384844,1.006959332547328,
b.9,-0.4450100757351687,0.00622642814374049,0.00012686693577125194,2420.3416913504393,3480.1586173912656,1.0002521378248248,
b.10,-0.09156466507779351,0.005598546884145403,0.00013119507195038661,1826.7263903123867,4022.121452476158,1.0084008424621191,
