round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,5.4569682106375694e-12,,7.3323743,3.2431904e7,-2.7284841053187847e-12
2,4,0,7.275957614183426e-12,,9.817270118,125120.0,-1.8189894035458565e-12
3,8,0,5.9117155615240335e-12,,19.127488377,247024.0,1.1368683772161603e-12
4,16,0,4.206412995699793e-12,,23.006108695,516928.0,5.6621374255882984e-14
5,32,7,3.637978807091713e-12,,40.130819428,864160.0,6.816769371198461e-13
6,64,23,3.751665644813329e-12,,122.671321824,1.269952e6,-6.24389429049188e-13
7,128,55,4.320210855723872e-12,,259.524497904,1.969344e6,1.1945999744966684e-13
8,256,119,4.177991286269389e-12,,487.173741787,3.403968e6,9.85878045867139e-14
9,512,247,4.210298776285981e-12,,909.752512103,6.165696e6,1.0125233984581428e-13
10,1024,503,4.671596443017734e-12,,1702.102140865,1.1895552e7,2.7533531010703882e-14
11,2048,1015,4.752420679210445e-12,,3200.392451492,2.2951104e7,-7.638334409421077e-14
12,4096,2039,5.253686374828703e-12,,6175.316301384,4.5850048e7,-4.574118861455645e-14
13,8192,1428,1.2060412210886886,,5956.202688291,1.2027092008e10,-6945.022485072377
14,16384,3421,1.265490680718903,,11691.699873376,2.3815827568e10,-6945.059483873094
