parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
beta.1,5.34936764781808,0.17403396711320337,0.003140881375362217,3091.3759330229495,4082.7397652469326,1.0001829696734883,
beta.2,0.3949326449492869,0.28857517219191686,0.00484446713667631,3570.527013888824,4427.378485584696,1.000488813156421,
beta.3,1.1472783658120098,0.214702295845259,0.0035286893474158294,3730.5305451358927,4710.288746595939,1.0001230951327358,
beta.4,0.3688119973613065,0.2918348243575484,0.004788130016155643,3744.0115728410137,4881.407799795196,1.0003271070012576,
beta.5,0.4041536352013729,0.31860684200548256,0.005090721536685276,3958.9575153160367,4919.004567191124,1.0001940683918522,
beta.6,0.10900157376797755,0.12672947526517367,0.0015440562976464754,6746.428835904199,9411.019483631091,0.9999418553107785,
beta.7,-0.5840952276126073,0.13394996519295155,0.0017705397178963576,5749.4214291630005,7822.9068150535595,1.0000719923893897,
sigma,0.34036359759239,0.039918497299126963,0.00044886576645508257,7981.486402235195,10086.696555992363,1.0000470905329033,
