parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
beta.1,8.141519562157821,0.6117076995360211,0.023868718560988753,678.0404769575504,423.9253963332324,1.0011053644318484,
beta.2,0.020836323346768694,0.00945683557553281,0.0003711286311503462,673.8717668522422,425.3253842191828,1.0010624357824405,
beta.3,0.4212967097261111,0.07311957204426663,0.0024307941238560565,949.1173215910588,571.7331807971635,1.0003387983736194,
sigma,0.881907171629057,0.017926235214837265,0.0003568985321546126,2529.346576648542,3342.665910863131,1.000115305611776,
