parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
beta.1,25.7714435863357,5.958158444494329,0.053136437439496406,13037.854894783106,12104.934231751902,1.0001759215727168,
beta.2,5.9837115714522175,2.213512436054461,0.014087419849305428,24692.11732121329,35133.16795680805,1.0001326435143623,
beta.3,0.563269746330854,0.06108633142215284,0.0005473784717998455,12824.620556991289,12195.20178183264,1.0002588376970012,
sigma,18.14841515220654,0.620602935755478,0.002709734946364153,52503.181712778176,67204.94577412074,1.000001126865255,
